brand,storeId,storeName,avg4w,weeksData,coverageCurrent,coverageResult,diffGoal,devPct,status,losesCoverage,trend,w1,w2,w3,w4
Foodology Court - Turbo,900465145,Foodology Colina - Turbo Carrera 53 #137a-26,2.025,1,2700,2700,0.025,0.0125,🟡 Atención,No,Sin datos suficientes,,2.025,,
Bottaniko - Turbo,900443515,Bottaniko Barranquilla - Turbo,2.01041675,4,3000,3000,0.01041675,0.005208375,🟡 Atención,No,Estable,1.85,2.075,1.8333335,2.2833335
Brunch & Munch - Turbo,900409673,Brunch & Munch Castellana - Turbo,2.003465383,4,2400,2400,0.003465382966,0.001732691483,🟡 Atención,No,Estable,2.9291665,0.6851853333,2.474509824,1.924999875
Pret Sandwich Bistro - Turbo,900416173,Pret Sándwich Bistro Laureles - Turbo Calle,2.002083313,4,3000,3000,0.0020833125,0.00104165625,🟡 Atención,No,Estable,2.7333335,2.00833325,0.6,2.6666665
Numa Cocina Mediterranea - Turbo,900463762,Cocina Mediterranea Villa Del Prado - Turbo,2.000416633,4,2100,2100,0.0004166333333,0.0002083166667,🟡 Atención,No,Mejorando,2.588889167,2.936111167,1.8933332,0.583333
Casa Arabe - Turbo,900477855,Casa Árabe San Fernando - Turbo,1.979166667,4,2400,2400,-0.02083333333,-0.01041666667,🟢 Saludable,No,Estable,1.813888833,2.144444333,2.6,1.3583335
The Breakfast Club - Turbo,900475211,The Breakfast Club Barranquilla - Turbo,1.976736889,4,2700,2700,-0.02326311088,-0.01163155544,🟢 Saludable,No,Estable,2.30999995,1.204597724,2.939899,1.452450882
Almuerzos D´la Casa - Turbo,900471209,Almuerzos D´la Casa - 93 - Turbo,1.975,3,2400,2400,-0.025,-0.0125,🟢 Saludable,No,Mejorando,2.425,2.85,0.65,
Honest Food Fdl - Turbo,900472142,Honest Food Colina - Turbo,1.971940505,4,2400,2400,-0.02805949476,-0.01402974738,🟢 Saludable,No,Empeorando,1.452564,1.556410385,2.337878636,2.540909
Alba Vegetarian - Turbo,900443013,Alba Vegetarian - Colina - Turbo Carrera 53  264,1.966666688,4,2700,2700,-0.0333333125,-0.01666665625,🟢 Saludable,No,Empeorando,0.925,1.90833325,3.95,1.0833335
Señor Burrito. - Turbo,900467418,Señor Burrito 93 - Turbo,1.962499875,4,2100,2100,-0.037500125,-0.0187500625,🟢 Saludable,No,Empeorando,1.033333,0.2166665,4.366667,2.233333
Cacerola - Turbo,900416211,Cacerola Laureles - Turbo,1.961111333,3,3000,3000,-0.03888866667,-0.01944433333,🟢 Saludable,No,Empeorando,0.916667,1.25,,3.716667
Bottaniko - Turbo,900443505,Bottaniko Cali - San Fernando - Turbo,1.961111,3,2400,2400,-0.038889,-0.0194445,🟢 Saludable,No,Mejorando,0.6,4.9,0.383333,
Monteverde - Turbo,900450773,Monteverde Villa Del Prado - Turbo,1.943439579,4,2700,2700,-0.0565604209,-0.02828021045,🟢 Saludable,No,Estable,1.340972208,2.6708333,2.101851778,1.66010103
The Breakfast Club - Turbo,900475208,The Breakfast Club Cabecera - Turbo,1.937835908,4,2700,2700,-0.06216409153,-0.03108204577,🟢 Saludable,No,Mejorando,2.587719316,2.315476143,1.264814944,1.583333231
Mr Beast Burger - Turbo,900405268,Mr Beast Manila - Turbo,1.934488644,4,3000,3000,-0.06551135606,-0.03275567803,🟢 Saludable,No,Estable,1.9291666,2.228787909,2.3633334,1.216666667
Cinnabon Foodology - Turbo,900410068,Cinnabon Chapinero - Turbo,1.93213534,4,2700,2700,-0.0678646604,-0.0339323302,🟢 Saludable,No,Estable,1.742592593,1.602020152,2.025595214,2.3583334
Honest Food Fdl - Turbo,900472138,Honest Food Calle 93 - Turbo,1.920291314,4,2400,2400,-0.07970868559,-0.0398543428,🟢 Saludable,No,Estable,1.863043478,1.291269857,2.327777867,2.199074056
la Cuadra Desayunos Caseros - Turbo,900467497,La Cuadra Desayunos Caseros 93 - Turbo,1.916667,1,3000,3000,-0.083333,-0.0416665,🟢 Saludable,No,Sin datos suficientes,,,1.916667,
Avocalia Turbo,900405544,Avocalia Cali - San Fernando - Turbo,1.915463601,4,2400,2400,-0.08453639933,-0.04226819967,🟢 Saludable,No,Estable,1.973717962,1.460144957,1.822435885,2.4055556
Almuerzos D´la Casa - Turbo,900471210,Almuerzos D´la Casa - Chapinero - Turbo,1.9095833,4,3000,3000,-0.0904167,-0.04520835,🟢 Saludable,No,Estable,0.9,3.111111,2.897222,0.7300002
Helados San Jerónimo - Turbo,900407396,Heladería San Jerónimo Santa Mónica (Cali Norte) - Turbo,1.9083335,3,3000,3000,-0.0916665,-0.04583325,🟢 Saludable,No,Empeorando,,0,5.616667,0.1083335
Alba Vegetarian - Turbo,900476064,Alba Vegetarian Villa Del Prado - Turbo,1.903124938,4,2400,2400,-0.0968750625,-0.04843753125,🟢 Saludable,No,Estable,1.24583325,2.8166665,3.116667,0.433333
La Cuadra - Turbo,900481970,La Cuadra - Cartagena - Turbo,1.888212574,4,2400,2400,-0.1117874263,-0.05589371313,🟢 Saludable,No,Mejorando,3.442424182,1.780769231,1.142156882,1.1875
Dembow - Turbo,900473647,Dembow - Barranquilla Nte - Turbo,1.875,2,3000,3000,-0.125,-0.0625,🟢 Saludable,No,Empeorando,,0.583333,3.166667,
Monteverde - Turbo,900450779,Monteverde Chapinero - Turbo,1.870409502,4,2700,2700,-0.1295904982,-0.06479524908,🟢 Saludable,No,Empeorando,1.226041625,1.574305542,2.326388958,2.354901882
La Cuadra - Turbo,900488957,la Cuadra Arrecife - Turbo,1.85735619,4,2700,2700,-0.1426438101,-0.07132190503,🟢 Saludable,No,Mejorando,2.444144135,2.180158619,1.411788634,1.393333371
Foodology Court - Turbo,900473569,Foodology Ingenio - Turbo,1.847361163,4,3000,3000,-0.1526388375,-0.07631941875,🟢 Saludable,No,Empeorando,1.719444667,0.5033334,0.7083333333,4.45833325
la Cuadra Desayunos Caseros - Turbo,900467500,La Cuadra Desayunos Caseros Manila - Turbo,1.847222222,3,3000,3000,-0.1527777778,-0.07638888889,🟢 Saludable,No,Estable,,1.775,0.2166666667,3.55
Dembow - Turbo,900473643,Dembow - Laureles - Turbo,1.845370556,3,3000,3000,-0.1546294444,-0.07731472222,🟢 Saludable,No,Estable,0.9583335,2.494444667,2.0833335,
Avocalia Turbo,900420305,Avocalia - Colina - Turbo,1.839841733,4,2700,2700,-0.1601582673,-0.08007913363,🟢 Saludable,No,Estable,1.600892804,2.677966051,1.460040217,1.62046786
Casa Arabe - Turbo,900477849,Casa Árabe Colina - Turbo,1.824305583,4,2400,2400,-0.1756944167,-0.08784720833,🟢 Saludable,No,Empeorando,1.4,1.155555667,1.566666667,3.175
Brunch & Munch - Turbo,900405253,Brunch & Munch Laureles - Turbo,1.81743898,4,3000,3000,-0.1825610198,-0.09128050992,🟢 Saludable,No,Estable,1.238095245,1.795454545,1.528750025,2.707456105
Burritos & Co - Turbo,900481037,Burritos & Co - Cartagena - Turbo,1.816974142,4,2700,2700,-0.1830258576,-0.09151292878,🟢 Saludable,No,Estable,1.870289957,1.446078471,1.728947368,2.222580774
Green House Fd - Turbo,900481820,Green House Cartagena - Turbo,1.815014564,4,2700,2700,-0.1849854359,-0.09249271796,🟢 Saludable,No,Estable,1.802032488,1.710569024,2.052380971,1.695075773
Burritos & Co - Turbo,900410572,Burritos And Co 93 - Turbo,1.788983137,4,2700,2700,-0.2110168634,-0.1055084317,🟢 Saludable,No,Estable,1.438571457,2.058630982,1.71527775,1.943452357
Alba Vegetarian - Turbo,900443008,Alba Vegetarian - Laureles - Turbo,1.787599333,4,2700,2700,-0.2124006667,-0.1062003333,🟢 Saludable,No,Estable,1.461111333,2.7208335,1.497619,1.4708335
Dembow - Turbo,900473650,Dembow - Andes - Turbo,1.77916675,2,2700,2700,-0.22083325,-0.110416625,🟢 Saludable,No,Empeorando,,0.7916665,2.766667,
