Semana,Ciudad,Marca,Store ID,Store Name,Cocina,Avg RTWT (limpio),Current Size (m),Final Size (m)
25/5/2026,Bogotá,Helados San Jerónimo - Turbo,CO900414572,Heladería San Jerónimo Villa Del Prado - Turbo,Villa del Prado,0.73,3000.0,3000.0
25/5/2026,Bogotá,Pret Sandwich Bistro - Turbo,CO900473669,Pret Sandwich Bistro Kennedy - Turbo,Kennedy,0.73,2700.0,3000.0
25/5/2026,Medellín,Green House Fd - Turbo,CO900438443,Green House Laureles - Turbo,Laureles,2.89,2700.0,3000.0
25/5/2026,Bogotá,Mañanero Diario - Turbo,CO900475199,Mañanero Kennedy - Turbo,Kennedy,0.69,2400.0,3000.0
25/5/2026,Cali,Helados San Jerónimo - Turbo,CO900405136,Heladería San Jerónimo San Fernando - Turbo,San Fernando,0.69,3000.0,3000.0
25/5/2026,Barranquilla,Helados San Jerónimo - Turbo,CO900410462,Heladería San Jerónimo Barranquilla Norte - Turbo,Barranquilla,0.68,3000.0,3000.0
25/5/2026,Bogotá,Frost By Oreo - Turbo,CO900409684,Frost By Oreo Chapinero - Turbo,Chapinero,0.68,2700.0,3000.0
25/5/2026,Bucaramanga,Frost By Oreo - Turbo,CO900426531,Frost by Oreo Bucaramanga - Turbo,Cabecera (Bga),0.68,3000.0,3000.0
25/5/2026,Bogotá,Vicio - Turbo,CO900420288,Vicio Kennedy - Turbo,Kennedy,0.67,3000.0,3000.0
25/5/2026,Cartagena,Vicio - Turbo,CO900482006,Vicio Cartagena - Turbo,Cartagena,0.67,3000.0,3000.0
25/5/2026,Cartagena,Almuerzos D´la Casa - Turbo,CO900479595,Almuerzos D´la Casa - Cartagena - Turbo,Cartagena,0.67,2400.0,2400.0
25/5/2026,Barranquilla,Vicio - Turbo,CO900410120,Vicio Barranquilla Norte - Turbo,Barranquilla,0.65,3000.0,3000.0
25/5/2026,Cartagena,Bottaniko - Turbo,CO900480013,Bottaniko - Cartagena - Turbo,Cartagena,0.65,2400.0,2400.0
25/5/2026,Barranquilla,Cacerola - Turbo,CO900416210,Cacerola Barranquilla - Turbo,Barranquilla,0.63,3000.0,3000.0
25/5/2026,Bogotá,House Of Salads - Turbo,CO900445678,House Of Salad Usaquen - Turbo,Usaquén,0.63,2700.0,3000.0
25/5/2026,Bogotá,Monteverde - Turbo,CO900450766,Monteverde Usaquen - Turbo,Usaquén,0.6,3000.0,3000.0
25/5/2026,Bogotá,House Of Salads - Turbo,CO900476071,House Of Salads Kennedy - Turbo,Kennedy,0.6,2400.0,2400.0
25/5/2026,Cali,Burrito Cantina - Turbo,CO900467382,Burrito Cantina Santa Mónica (Cali Norte) - Turbo,Santa Mónica,0.6,2700.0,3000.0
